source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy
iscx,mendeley,dqn,23,validation_fpr_limit,-0.07751908751023495,-0.12201251952077949,0.004548274227546778,0.00246388202592579,0.009300048947626038,0.0019642857142857517,0.0036678816166701433
iscx,mendeley,dqn,37,default,-0.02494206426186335,-0.04231130398806604,-0.004567970936119714,-0.0021837005975234303,-0.010605318975362987,-0.0033928571428571974,-0.003606230916252895
iscx,mendeley,dqn,37,validation_f1,-0.02494206426186335,-0.04231130398806604,0.0114527520112504,0.00565542529925267,0.02675803556860823,0.00642857142857145,0.01016473207001839
iscx,mendeley,dqn,37,validation_fpr_limit,-0.02494206426186335,-0.04231130398806604,0.0006562985998204152,0.0003693876353961234,0.00130527002773706,0.00017857142857136132,0.0005633492995828493
iscx,mendeley,dqn,51,default,-0.018991482587437658,-0.035803265505908705,0.006390428477190957,0.00321179698292523,0.014521129058574056,0.0033928571428571974,0.005564135957858429
iscx,mendeley,dqn,51,validation_f1,-0.018991482587437658,-0.035803265505908705,-0.00912904699953132,-0.004594154655124583,-0.02088432044379185,-0.004642857142857171,-0.008120731650467339
iscx,mendeley,dqn,51,validation_fpr_limit,-0.018991482587437658,-0.035803265505908705,0.010303680050976594,0.005881039216604822,0.020231685429923374,0.0023214285714285854,0.008955128429247394
iscx,mendeley,dqn,71,default,0.031777401232966185,0.03833346444304597,-0.004030686436465314,-0.0019120929470842762,-0.009463207701093101,-0.0030357142857142527,-0.0032137467076894244
iscx,mendeley,dqn,71,validation_f1,0.031777401232966185,0.03833346444304597,0.004702956864099828,0.002679316986920921,0.009789525208027339,0.0,0.004894762604013669
iscx,mendeley,dqn,71,validation_fpr_limit,0.031777401232966185,0.03833346444304597,0.009340514249715715,0.005351762318243358,0.01827378038831784,0.0019642857142856407,0.0081547473370161
iscx,mendeley,logistic,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,logistic,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,mlp,11,default,0.0012202292097797107,0.00625374391068223,0.005538145915798043,0.0028774258454776214,0.012236906510034284,0.0023214285714284744,0.004957738969302905
iscx,mendeley,mlp,11,validation_f1,0.0012202292097797107,0.00625374391068223,0.002384107660095003,0.001171300785616447,0.005547397617882144,0.0014285714285714457,0.002059413094655349
iscx,mendeley,mlp,11,validation_fpr_limit,0.0012202292097797107,0.00625374391068223,0.003757797986464584,0.0021854922468135807,0.007342143906020504,0.00035714285714283367,0.003492500524438835
iscx,mendeley,mlp,23,default,-0.00047387867045434184,0.004066440575251143,0.0033304702544680875,0.0013323289120139026,0.008647413933757564,0.004285714285714337,0.0021808498240216134
iscx,mendeley,mlp,23,validation_f1,-0.00047387867045434184,0.004066440575251143,0.000573401722138378,0.0005401048772640804,0.0004894762604013003,-0.001607142857142807,0.0010483095587720537
