source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,mendeley,ddqn,37,default,0.013735518827614701,0.010871923292077479,0.006445546567368621,0.003456535225682511,0.01386849404470547,0.0019642857142857517,0.005952104165209859,0.008184840992412012
iscx,mendeley,ddqn,37,validation_f1,0.013735518827614701,0.010871923292077479,-0.0053629818619783665,-0.002625661744504182,-0.012563224016968522,-0.003214285714285614,-0.004674469151341454,-0.008099582232074298
iscx,mendeley,ddqn,37,validation_fpr_limit,0.013735518827614701,0.010871923292077479,-0.013614715416361611,-0.007872134337710723,-0.026431718061673992,-0.0023214285714285854,-0.012055144745122703,-0.014920283059084327
iscx,mendeley,ddqn,51,default,-0.11375412959676579,-0.13384715229704217,-0.005273355751722497,-0.002652592719308844,-0.011910589003100047,-0.0028571428571428914,-0.004526723072978578,-0.007588029670048679
iscx,mendeley,ddqn,51,validation_f1,-0.11375412959676579,-0.13384715229704217,-0.005661426482765908,-0.0028735374957691295,-0.012889541523902759,-0.002678571428571419,-0.00510548504766567,-0.008014323471736695
iscx,mendeley,ddqn,51,validation_fpr_limit,-0.11375412959676579,-0.13384715229704217,0.007586046757420584,0.004411143003359763,0.014684287812041119,0.001071428571428612,0.0068064296203062535,0.008184840992412012
iscx,mendeley,ddqn,71,default,-0.0003877098159336123,0.010828322028762577,-0.0021252341998222457,-0.0009838055444328364,-0.0050579213574808435,-0.0017857142857143904,-0.0016361035358832265,-0.0034956091738426176
iscx,mendeley,ddqn,71,validation_f1,-0.0003877098159336123,0.010828322028762577,-0.0027716393522310145,-0.0013422506703090198,-0.0065263501386849665,-0.0017857142857142794,-0.0023703179264853436,-0.004262938016881268
iscx,mendeley,ddqn,71,validation_fpr_limit,-0.0003877098159336123,0.010828322028762577,-0.004143477404891405,-0.0024711139423267414,-0.007831620166422026,-0.00017857142857147235,-0.003826524368925277,-0.004177679256543665
iscx,mendeley,dqn,11,default,-0.017054695274748233,-0.042192241801272595,-0.0037075537075537124,-0.0018100711327025953,-0.008647413933757564,-0.0023214285714285854,-0.003162992681164545,-0.005627078182283252
iscx,mendeley,dqn,11,validation_f1,-0.017054695274748233,-0.042192241801272595,0.006944663272388629,0.003256881948456747,0.016805351607113717,0.005178571428571366,0.005813390089271175,0.011254156364566392
iscx,mendeley,dqn,11,validation_fpr_limit,-0.017054695274748233,-0.042192241801272595,0.0021966922638163577,0.0011540674965970221,0.004568445097079432,0.0012499999999999734,0.0016592225485397294,0.0029840566118167766
iscx,mendeley,dqn,23,default,-0.057640648114501314,-0.10952047351001104,-0.0051934636317876315,-0.0024929743450275987,-0.012236906510034284,-0.0035714285714285587,-0.004332738969302863,-0.00809958223207441
iscx,mendeley,dqn,23,validation_f1,-0.057640648114501314,-0.10952047351001104,-0.005304069994504612,-0.002644286378188143,-0.012236906510034284,-0.0028571428571428914,-0.0046898818264456965,-0.007758547190723775
iscx,mendeley,dqn,23,validation_fpr_limit,-0.057640648114501314,-0.10952047351001104,0.0006242664632065686,0.0003267288245235034,0.0013052700277369489,0.00035714285714283367,0.0004740635852970576,0.0008525876033762536
iscx,mendeley,dqn,37,default,-0.034505363407521694,-0.060137534088525235,0.004458740123900795,0.0023309437002423383,0.00978952520802745,0.0017857142857142794,0.004001905461156585,0.005968113223633775
iscx,mendeley,dqn,37,validation_f1,-0.034505363407521694,-0.060137534088525235,0.0006686642942860255,0.00040616697597817275,0.0013052700277369489,-0.00017857142857136132,0.0007419207281541551,0.0005968113223634441
iscx,mendeley,dqn,37,validation_fpr_limit,-0.034505363407521694,-0.060137534088525235,-0.009212699839158622,-0.005233924801470002,-0.018110621634850665,-0.0023214285714285854,-0.00789459653171104,-0.010572086281865567
