source,target,model,seed,operating_point,average_precision,roc_auc,f1,recall,precision,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,random_forest,37,default,-0.01987584007483878,-0.014570726284626856,-0.030603399548468246,-0.02373104812129201,-0.037618048501355084,0.037917737789203085,-0.030824392955247526,0.007484542792059901
iscx,iscx,random_forest,37,validation_f1,-0.01987584007483878,-0.014570726284626856,-0.03328001226733024,0.02307185234014497,-0.09801059498445497,0.09897172236503855,-0.0379499350124467,0.06150341685649208
iscx,iscx,random_forest,37,validation_fpr_limit,-0.01987584007483878,-0.014570726284626856,-0.08147916363067942,-0.1351351351351351,0.01381937228116048,-0.012853470437017993,-0.06114083234905854,-0.07321835340058575
iscx,iscx,random_forest,51,default,-0.020368110528260375,-0.014657785881687091,-0.02897874083583818,-0.04548450889914302,-0.011409153952843254,0.007069408740359898,-0.02627695881975145,-0.018874064432151005
iscx,iscx,random_forest,51,validation_f1,-0.020368110528260375,-0.014657785881687091,-0.03502007864764023,0.018457481872116044,-0.09598819228852196,0.09704370179948586,-0.03929310996368496,0.058249267816466
iscx,iscx,random_forest,51,validation_fpr_limit,-0.020368110528260375,-0.014657785881687091,-0.07701848261621813,-0.12722478576137108,0.013277903450931383,-0.012210796915167094,-0.05750699442310192,-0.06898795964855187
iscx,iscx,random_forest,71,default,-0.021071569117550593,-0.01448048933000945,-0.029706866090069894,-0.04680290046143698,-0.01153432039758362,0.007069408740359898,-0.026936154600898488,-0.019524894240156243
iscx,iscx,random_forest,71,validation_f1,-0.021071569117550593,-0.01448048933000945,-0.036406672875787804,0.06262359920896499,-0.13812807197318377,0.15616966580976863,-0.046773033300401834,0.1099902375528799
iscx,iscx,random_forest,71,validation_fpr_limit,-0.021071569117550593,-0.01448048933000945,-0.08060735178604561,-0.1331575477916941,0.013110104868891526,-0.012210796915167094,-0.06047337543826348,-0.07191669378457533
iscx,mendeley,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
