tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,23,validation_fpr_limit,1.0000000000000002,7.309997454285622e-05,3.2400013878941536e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,23,default,0.5000000000000001,7.309997454285622e-05,4.3800100684165955e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,23,validation_f1,1.0,7.309997454285622e-05,4.3800100684165955e-05
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,23,validation_fpr_limit,1.0000000000000002,7.309997454285622e-05,4.3800100684165955e-05
1385,171,239,1278,0.8665798893589326,0.8819875776397516,0.8424522083058669,0.8617666891436278,0.10989717223650386,0.8901028277634961,0.8662775180346816,0.9130877806459082,0.929588909242806,0.4715261958997722,3073,iscx,iscx,logistic,23,default,5e-324,0.013947299914434552,0.00037659984081983566
1385,171,239,1278,0.8665798893589326,0.8819875776397516,0.8424522083058669,0.8617666891436278,0.10989717223650386,0.8901028277634961,0.8662775180346816,0.9130877806459082,0.929588909242806,0.4715261958997722,3073,iscx,iscx,logistic,23,validation_f1,0.011455059051513672,0.013947299914434552,0.00037659984081983566
1549,7,1369,148,0.5522290920924179,0.9548387096774194,0.0975609756097561,0.17703349282296652,0.004498714652956298,0.9955012853470437,0.5465311304784,0.9130877806459082,0.929588909242806,0.050439310120403515,3073,iscx,iscx,logistic,23,validation_fpr_limit,4.028162956237793,0.013947299914434552,0.00037659984081983566
2007,3593,2189,3940,0.5070338477278541,0.5230319925660427,0.6428454886604666,0.5767823159127506,0.6416071428571428,0.3583928571428571,0.5006191729016619,0.631953225176032,0.5599804646528215,0.6422542416233268,11729,iscx,mendeley,logistic,23,default,5e-324,0.013947299914434552,0.0005616999696940184
2007,3593,2189,3940,0.5070338477278541,0.5230319925660427,0.6428454886604666,0.5767823159127506,0.6416071428571428,0.3583928571428571,0.5006191729016619,0.631953225176032,0.5599804646528215,0.6422542416233268,11729,iscx,mendeley,logistic,23,validation_f1,0.011455059051513672,0.013947299914434552,0.0005616999696940184
5600,0,5961,168,0.49177252962741924,1.0,0.02741067058247675,0.0533587422582182,0.0,1.0,0.5137053352912384,0.631953225176032,0.5599804646528215,0.014323471736720947,11729,iscx,mendeley,logistic,23,validation_fpr_limit,4.028162956237793,0.013947299914434552,0.0005616999696940184
1404,152,227,1290,0.8766677513830133,0.8945908460471568,0.8503625576796309,0.871916187901318,0.09768637532133675,0.9023136246786633,0.8763380911791471,0.9497604906440653,0.948013558420167,0.46924829157175396,3073,iscx,iscx,random_forest,23,default,0.5000000000000001,0.7329678998794407,0.12317869998514652
1362,194,198,1319,0.8724373576309795,0.8717779246530073,0.8694792353328938,0.8706270627062707,0.12467866323907455,0.8753213367609255,0.8724002860469097,0.9497604906440653,0.948013558420167,0.49235274975593885,3073,iscx,iscx,random_forest,23,validation_f1,0.49745366524659446,0.7329678998794407,0.12317869998514652
1546,10,474,1043,0.84249918646274,0.9905033238366572,0.6875411997363217,0.8116731517509728,0.006426735218508998,0.993573264781491,0.8405572322589063,0.9497604906440653,0.948013558420167,0.3426618939147413,3073,iscx,iscx,random_forest,23,validation_fpr_limit,0.8937996046382437,0.7329678998794407,0.12317869998514652
2959,2641,2078,4051,0.5976639099667491,0.6053496712492529,0.6609561102953173,0.6319319865845098,0.47160714285714284,0.5283928571428571,0.5946744837190872,0.5367942938985449,0.5336877957252407,0.5705516241793844,11729,iscx,mendeley,random_forest,23,default,0.5000000000000001,0.7329678998794407,0.210783600108698
