source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,mlp,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
