tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
1369,187,319,1198,0.8353400585746827,0.8649819494584837,0.7897165458141068,0.8256374913852516,0.12017994858611825,0.8798200514138818,0.8347682986139943,0.9364943705576451,0.930786137570262,0.4506996420436056,3073,iscx,iscx,logistic,23,default,5e-324,0.022805199958384037,0.00048649986274540424
1298,258,181,1336,0.8571428571428571,0.8381430363864492,0.8806855636123929,0.8588878174220508,0.16580976863753213,0.8341902313624678,0.8574378974874304,0.9364943705576451,0.930786137570262,0.5187113569801497,3073,iscx,iscx,logistic,23,validation_f1,-0.47409725189208984,0.022805199958384037,0.00048649986274540424
1545,11,772,745,0.7452001301659616,0.9854497354497355,0.4911008569545155,0.6555213374395072,0.007069408740359897,0.9929305912596401,0.7420157241070778,0.9364943705576451,0.930786137570262,0.2460136674259681,3073,iscx,iscx,logistic,23,validation_fpr_limit,2.386249542236328,0.022805199958384037,0.00048649986274540424
160,5440,1008,5121,0.450251513342996,0.4848972635167124,0.8355359765051396,0.6136608747753146,0.9714285714285714,0.02857142857142857,0.43205370253828407,0.3515997250176772,0.1256767300654966,0.9004177679256543,11729,iscx,mendeley,logistic,23,default,5e-324,0.022805199958384037,0.0007637001108378172
115,5485,811,5318,0.46321084491431497,0.49227066555586413,0.8676782509381629,0.6281596976139854,0.9794642857142857,0.020535714285714286,0.4441069826119386,0.3515997250176772,0.1256767300654966,0.9210503879273595,11729,iscx,mendeley,logistic,23,validation_f1,-0.47409725189208984,0.022805199958384037,0.0007637001108378172
330,5270,2280,3849,0.3562963594509336,0.42208575501699747,0.6279980420949584,0.5048530954879329,0.9410714285714286,0.05892857142857143,0.3434633067617649,0.3515997250176772,0.1256767300654966,0.7774746355187996,11729,iscx,mendeley,logistic,23,validation_fpr_limit,2.386249542236328,0.022805199958384037,0.0007637001108378172
1422,134,167,1350,0.9020501138952164,0.9097035040431267,0.8899143045484509,0.8997000999666778,0.08611825192802057,0.9138817480719794,0.9018980263102152,0.9697389632532099,0.962751201888452,0.48291571753986334,3073,iscx,iscx,random_forest,23,default,0.5000000000000001,1.0080540000926703,0.09072429989464581
1423,133,167,1350,0.902375528799219,0.9103169251517195,0.8899143045484509,0.9,0.08547557840616966,0.9145244215938303,0.9022193630711406,0.9697389632532099,0.962751201888452,0.4825903026358607,3073,iscx,iscx,random_forest,23,validation_f1,0.5171240287490287,1.0080540000926703,0.09072429989464581
1525,31,265,1252,0.9036771884152294,0.9758378799688231,0.8253131179960448,0.8942857142857142,0.01992287917737789,0.9800771208226221,0.9026951194093334,0.9697389632532099,0.962751201888452,0.41750732183534006,3073,iscx,iscx,random_forest,23,validation_fpr_limit,0.7965383295194508,1.0080540000926703,0.09072429989464581
114,5486,574,5555,0.48333191235399436,0.5031247169640432,0.9063468755098711,0.6470588235294118,0.9796428571428571,0.02035714285714286,0.463352009183507,0.4469055092517586,0.35180535160711374,0.9413419728877143,11729,iscx,mendeley,random_forest,23,default,0.5000000000000001,1.0080540000926703,0.18567609996534884
114,5486,581,5548,0.482735101031631,0.5028094979155338,0.9052047642356013,0.6465070209170891,0.9796428571428571,0.02035714285714286,0.46278095354637205,0.4469055092517586,0.35180535160711374,0.9407451615653508,11729,iscx,mendeley,random_forest,23,validation_f1,0.5171240287490287,1.0080540000926703,0.18567609996534884
165,5435,912,5217,0.4588626481370961,0.48976717987232443,0.8511992168379834,0.6217746260651927,0.9705357142857143,0.029464285714285714,0.44033175127613455,0.4469055092517586,0.35180535160711374,0.9081763151163782,11729,iscx,mendeley,random_forest,23,validation_fpr_limit,0.7965383295194508,1.0080540000926703,0.18567609996534884
1449,107,174,1343,0.9085584119752684,0.9262068965517242,0.8852999340804218,0.9052915402763735,0.06876606683804627,0.9312339331619537,0.9082669336211877,0.9667113692031885,0.961297243070395,0.4718516108037748,3073,iscx,iscx,mlp,23,default,5e-324,3.318855300080031,0.0027621998451650143
1347,209,121,1396,0.8926130816791409,0.8697819314641745,0.9202373104812129,0.8942985265855221,0.13431876606683804,0.865681233933162,0.8929592722071875,0.9667113692031885,0.961297243070395,0.5222909209241783,3073,iscx,iscx,mlp,23,validation_f1,-0.7159175276756287,3.318855300080031,0.0027621998451650143
